ID,month_no,flat_type,storey_range,floor_area_sqm,lease_commence_date,resale_price
349,24193,4,1,104,1993,350000
350,24193,4,4,104,1989,348000
351,24193,4,1,108,1990,375000
352,24193,4,4,105,1990,375000
353,24193,4,7,103,1990,348000
354,24193,4,7,105,1993,388000
355,24193,4,13,104,1996,388000
356,24193,4,4,108,1996,388888
357,24193,4,10,108,1996,400000
358,24193,4,10,103,1998,373000
359,24193,4,4,100,1997,358000
360,24193,4,4,100,1998,320000
361,24193,4,4,103,1984,370000
362,24193,4,4,103,1984,333000
363,24193,4,7,104,1989,330000
364,24193,4,10,92,1979,355000
365,24193,4,1,103,1989,338000
366,24193,4,7,92,1979,330000
367,24193,5,4,122,1999,390000
368,24193,5,13,121,1999,450000
369,24193,5,10,123,2000,398000
370,24193,5,10,118,1997,445000
371,24193,5,1,120,1997,370000
372,24193,5,16,116,1999,383000
373,24193,5,13,110,2002,412888
374,24193,5,1,124,1999,398800
375,24193,5,4,110,2002,395000
376,24193,5,1,123,1999,380000
377,24193,5,16,124,1999,475000
378,24193,5,13,110,2003,410000
379,24193,5,7,110,2002,380000
380,24193,5,13,110,2002,400000
381,24193,5,1,110,2002,380000
382,24193,5,16,121,1996,488000
383,24193,5,7,125,1995,458000
384,24193,5,7,133,1994,425000
385,24193,5,13,127,1995,425000
386,24193,5,7,119,1997,480000
387,24193,5,10,131,1996,498000
388,24193,6,7,146,1992,650000
389,24193,6,19,141,1999,560888
390,24193,6,1,147,1996,588000
391,24193,6,7,144,1995,508000
392,24193,3,10,67,1978,323000
393,24193,3,10,67,1978,355000
394,24193,3,10,67,1978,410000
395,24193,3,4,81,1978,410000
396,24193,3,10,67,1978,332000
397,24193,3,4,82,1980,410000
398,24193,3,10,67,1979,392000
399,24193,3,10,67,1978,390000
400,24193,3,4,82,1980,410000
401,24193,3,7,67,1980,320000
402,24193,3,1,80,1979,420000
403,24193,3,1,67,1979,355000
404,24193,3,7,82,1980,440000
405,24193,3,7,67,1979,330000
406,24193,3,1,81,1984,340000
407,24193,3,10,74,1983,310000
408,24193,3,4,67,1979,306000
409,24193,3,7,77,1983,318000
410,24193,3,4,82,1980,360000
411,24193,3,1,82,1980,335800
412,24193,3,10,68,1980,302000
413,24193,3,7,67,1985,303000
414,24193,3,4,68,1984,298000
415,24193,3,10,67,1978,300000
416,24193,3,10,67,1980,306000
417,24193,3,1,68,1980,270000
418,24193,3,7,67,1980,290000
419,24193,3,13,68,1980,315000
420,24193,4,1,92,1978,460000
421,24193,4,7,92,1978,558000
422,24193,4,16,90,2002,688000
423,24193,4,10,92,1979,545000
424,24193,4,10,92,1979,518000
425,24193,4,7,91,1981,483888
426,24193,4,4,91,1981,400000
427,24193,4,4,91,1978,390000
428,24193,4,4,92,1978,429000
429,24193,5,10,117,1978,715000
430,24193,5,10,110,2002,768000
431,24193,5,4,121,1979,668000
432,24193,2,7,46,1973,220000
433,24193,2,10,42,1969,202000
434,24193,3,1,67,1978,300000
435,24193,3,1,67,1978,288000
436,24193,3,10,67,1978,350000
437,24193,3,10,65,1975,340888
438,24193,3,7,60,1967,257000
439,24193,3,4,60,1967,250000
440,24193,3,4,60.3,1967,250000
441,24193,3,7,60.3,1967,248000
442,24193,3,13,63.1,1971,270000
443,24193,3,1,52,1971,253000
444,24193,3,1,52,1971,250000
445,24193,3,1,52,1971,265000
446,24193,3,1,60,1970,255000
447,24193,3,4,60,1969,250000
448,24193,3,1,59,1967,275000
449,24193,3,10,61,1971,285000
450,24193,3,1,56,1969,238000
451,24193,3,10,58,1972,268000
452,24193,3,10,65,1977,330000
453,24193,3,10,60,2007,440000
454,24193,3,7,64,1968,265000
455,24193,3,4,56,1969,312000
456,24193,3,1,67,1972,268000
457,24193,3,4,58,1972,244000
458,24193,3,1,58,1972,247888
459,24193,3,13,82,1981,485000
460,24193,3,7,65,1977,320000
461,24193,3,13,76,1981,380000
462,24193,3,4,64,1985,318000
463,24193,4,16,91,1978,515000
464,24193,4,19,85,2006,678000
465,24193,4,4,95,2011,622000
466,24193,4,19,93,2005,734000
467,24193,4,10,93,2005,698000
468,24193,4,13,96,1985,470000
469,24193,4,10,102,1997,540000
470,24193,4,1,109,1989,485000
471,24193,4,7,109,1990,420000
472,24193,4,10,104,1985,445000
473,24193,4,7,84,1986,365000
474,24193,5,4,123,1980,633000
475,24193,5,7,122,1996,630000
476,24193,5,4,118,1980,517000
477,24193,5,1,113,2000,668000
478,24193,6,1,150,1983,718000
479,24193,6,7,146,1986,735000
480,24193,3,4,82,1981,320000
481,24193,3,4,80,1983,322000
482,24193,3,4,68,1985,317000
483,24193,3,7,73,1978,314000
484,24193,3,7,73,1978,310000
485,24193,3,13,59,1975,270000
486,24193,3,4,88,1978,352800
487,24193,3,1,73,1978,280000
488,24193,3,1,67,1985,288000
489,24193,3,4,64,1986,270000
490,24193,3,1,64,1989,266000
491,24193,3,4,74,1984,315000
492,24193,3,7,67,1984,315000
493,24193,4,13,90,2004,378000
494,24193,4,7,102,1984,390000
495,24193,4,1,100,1997,383000
496,24193,4,1,104,1984,388000
497,24193,4,1,104,1992,380000
498,24193,4,4,103,1990,382000
499,24193,4,1,105,1990,363000
500,24193,4,1,109,1987,400000
501,24193,4,7,104,1987,396800
502,24193,4,10,104,1987,410000
503,24193,4,4,105,1983,410000
504,24193,4,4,98,1983,400000
505,24193,4,1,93,1983,335000
506,24193,4,1,91,1986,338000
507,24193,4,4,84,1986,345000
508,24193,4,4,84,1986,361000
509,24193,4,4,104,1989,375000
510,24193,4,4,107,1990,388000
511,24193,4,7,84,1986,350000
512,24193,4,10,101,1999,390000
513,24193,4,13,107,1992,505000
514,24193,4,10,98,1984,395000
515,24193,4,13,103,1998,480000
516,24193,4,4,104,1985,380000
517,24193,4,4,90,1997,380000
518,24193,4,13,101,1998,407000
519,24193,4,10,101,1998,392000
520,24193,4,7,101,1998,386000
521,24193,4,1,101,1998,362000
522,24193,4,4,108,1984,378000
523,24193,5,13,110,2003,465000
524,24193,5,13,122,1997,530000
525,24193,5,7,122,1997,518000
526,24193,5,4,121,1985,525000
527,24193,5,1,121,1985,528000
528,24193,5,7,121,1987,508888
529,24193,5,1,125,1992,505000
530,24193,5,1,122,1989,520000
531,24193,5,4,121,1987,500000
532,24193,5,10,121,1987,560000
533,24193,5,7,121,1990,488000
534,24193,5,13,120,1999,530000
535,24193,6,10,148,1991,685000
536,24193,6,4,157,1986,660000
537,24193,6,1,144,1987,630000
538,24193,6,1,155,1984,760000
539,24193,6,1,137,1999,480000
540,24193,3,4,67,1983,290000
541,24193,3,1,82,1981,310000
542,24193,3,7,82,1981,350000
543,24193,3,7,67,1982,302000
544,24193,3,10,68,1983,320000
545,24193,3,7,68,1983,300000
546,24193,3,4,68,1983,295000
547,24193,3,7,82,1983,338000
548,24193,3,4,68,1983,287000
549,24193,3,4,79,1984,305000
550,24193,3,1,67,1983,306000
551,24193,3,1,67,1983,302000
552,24193,3,1,74,1984,310000
553,24193,3,7,74,1977,315000
554,24193,4,7,94,1981,433888
555,24193,4,7,83,1986,310000
556,24193,4,7,99,1981,365000
557,24193,4,1,101,1998,465000
558,24193,5,1,120,1982,500000
559,24193,5,7,122,1983,650000
560,24193,5,25,110,2003,470000
561,24193,5,7,121,1998,638000
562,24193,5,1,121,1998,635000
563,24193,6,4,144,1998,732000
564,24193,6,4,142,1986,600000
565,24193,2,1,44,1978,216500
566,24193,3,10,59,1978,270000
567,24193,3,4,59,1978,260000
568,24193,3,16,65,1976,300000
569,24193,3,1,65,1976,240000
570,24193,3,13,65,1977,271000
571,24193,3,7,65,1977,250000
572,24193,3,16,74,1976,305000
573,24193,3,7,74,1984,295000
574,24193,3,7,73,1984,280000
575,24193,3,4,67,1985,319000
576,24193,3,4,64,1985,275000
577,24193,3,10,67,1983,345000
578,24193,3,13,74,1984,335000
579,24193,3,4,71,1983,300000
580,24193,3,7,74,1984,350000
581,24193,3,4,74,1984,338000
582,24193,3,7,73,1988,283000
583,24193,3,4,73,1988,288000
584,24193,3,10,73,1989,285000
585,24193,3,7,67,2012,353000
586,24193,3,4,61,1974,285000
587,24193,4,13,112,1995,445000
588,24193,4,4,104,1990,350000
589,24193,4,13,93,2000,388000
590,24193,4,7,99,1998,480000
591,24193,4,1,94,2000,392888
592,24193,4,1,94,2000,373000
593,24193,4,10,99,1998,488000
594,24193,4,13,88,2002,340000
595,24193,4,7,90,2002,355000
596,24193,4,4,106,1985,370000
597,24193,4,7,103,1985,370000
598,24193,4,13,103,1985,382000
599,24193,4,10,95,2000,552000
600,24193,4,10,94,1982,370000
601,24193,4,13,85,2002,425000
602,24193,4,4,90,1998,380000
603,24193,4,13,86,2002,428000
604,24193,4,10,85,2000,425000
605,24193,4,10,91,2001,450000
606,24193,4,7,91,2001,438000
607,24193,4,1,91,2001,370000
608,24193,4,4,91,2000,386000
609,24193,4,1,91,2001,335000
610,24193,4,10,91,2001,435000
611,24193,4,7,91,2001,446000
612,24193,4,4,104,1991,375000
613,24193,4,4,104,1992,365000
614,24193,4,4,107,1993,362888
615,24193,4,13,109,1996,388500
616,24193,4,10,104,1990,350000
617,24193,4,4,104,1990,390000
618,24193,4,1,106,1993,357000
619,24193,4,7,106,1993,365000
620,24193,4,7,104,1988,352000
621,24193,4,7,105,1989,348000
622,24193,4,1,108,1988,330000
623,24193,4,1,105,1989,320000
624,24193,4,7,103,1988,350000
625,24193,4,7,93,2008,400000
626,24193,4,1,104,1989,355000
627,24193,4,10,92,2012,450000
628,24193,4,10,106,1995,425000
629,24193,4,1,104,1990,348000
630,24193,5,13,110,2002,435000
631,24193,5,7,136,1984,459800
632,24193,5,10,133,1985,515000
633,24193,5,7,111,2001,395000
634,24193,5,7,111,2001,410000
635,24193,5,4,118,1998,525000
636,24193,5,13,114,2000,485000
637,24193,5,10,118,1998,535000
638,24193,5,4,139,1984,522888
639,24193,5,4,110,2000,448888
640,24193,5,4,110,2001,461888
641,24193,5,4,111,2000,525000
642,24193,5,13,110,2001,518000
643,24193,5,7,110,2008,450000
644,24193,5,16,110,2001,528000
645,24193,5,1,110,2001,438000
646,24193,5,1,110,2000,440000
647,24193,5,10,110,2001,468000
648,24193,5,1,115,2001,420000
649,24193,5,4,110,2002,460000
650,24193,5,7,110,2000,495000
651,24193,5,7,110,2001,493000
652,24193,5,10,111,2002,450000
653,24193,5,4,122,1990,395000
654,24193,5,4,121,1990,422000
655,24193,5,4,121,1990,410000
656,24193,5,4,125,1993,380000
657,24193,5,16,110,2008,503000
658,24193,5,4,127,1995,468000
659,24193,5,1,116,2001,405000
660,24193,6,4,146,1992,555000
661,24193,6,7,134,2000,605000
662,24193,6,10,151,1985,700000
663,24193,6,7,149,1985,690000
664,24193,6,13,133,2001,601000
665,24193,6,4,154,1993,540000
666,24193,2,7,45,1986,247000
667,24193,3,4,60,1981,390000
668,24193,3,19,60,1982,420000
669,24193,3,1,59,1974,290000
670,24193,3,7,70,1974,355000
671,24193,3,4,56,1971,270588
672,24193,3,1,56,1970,255000
673,24193,3,4,60,1969,302000
674,24193,3,13,65,1973,300000
675,24193,3,1,67,1979,360000
676,24193,3,10,68,1981,363000
677,24193,3,4,74,1983,391000
678,24193,3,4,67,2012,480000
679,24193,3,7,65,1974,275000
680,24193,3,10,66,1981,305000
681,24193,4,13,77,1975,480000
682,24193,4,16,92,2012,730000
683,24193,4,4,100,1997,639888
684,24193,4,1,91,1982,575000
685,24193,4,13,82,1982,538000
686,24193,4,4,103,1984,450000
687,24193,4,7,107,1989,522000
688,24193,4,1,104,1983,510000
689,24193,4,25,90,2006,720000
690,24193,4,10,85,2006,580000
691,24193,4,19,85,2006,670000
692,24193,4,10,90,2006,654000
693,24193,4,1,90,2006,598000
694,24193,5,13,118,1981,680000
695,24193,5,22,109,2011,855000
696,24193,5,19,114,1974,580000
697,24193,5,4,127,1982,690000
698,24193,6,4,150,1984,752000
699,24193,3,10,65,1975,450000
700,24193,3,10,65,1975,408000
701,24193,3,7,76,1976,428000
702,24193,3,7,65,1976,405000
703,24193,3,4,76,1976,475000
704,24193,3,7,65,1976,445000
705,24193,3,7,65,1975,385000
706,24193,3,1,65,1975,385000
707,24193,3,4,70,1975,400000
708,24193,3,7,65,1975,393000
709,24193,4,7,82,1975,467000
710,24193,4,1,87,1976,525000
711,24193,5,22,120,1977,860000
712,24193,5,22,120,1977,918000
713,24193,4,1,104,1996,400000
714,24193,4,4,112,1996,422000
715,24193,4,7,104,1995,402000
716,24193,4,4,105,1992,412000
717,24193,4,10,112,1989,420000
718,24193,4,4,105,1989,403000
719,24193,4,7,105,1989,422000
720,24193,4,4,105,1989,425000
721,24193,4,4,106,1990,420000
722,24193,4,7,107,1993,426000
723,24193,4,4,105,1996,396000
724,24193,4,4,104,1996,397000
725,24193,4,10,104,1996,402000
726,24193,4,10,103,1996,402000
727,24193,4,1,112,1996,385000
728,24193,5,7,122,1995,470000
729,24193,5,1,122,1989,440000
730,24193,5,7,122,1989,519000
731,24193,5,4,124,1993,460000
732,24193,5,4,128,1993,450000
733,24193,5,4,128,1993,458000
734,24193,5,7,130,1994,465000
735,24193,5,10,123,1993,485000
736,24193,5,4,122,1992,475000
737,24193,5,1,122,1993,500000
738,24193,6,4,149,1995,570000
739,24193,6,4,147,1993,550000
740,24193,6,1,150,1992,555000
741,24193,6,1,144,1992,623888
742,24193,6,1,145,1993,565000
743,24193,6,4,148,1996,663888
744,24193,6,13,143,1996,648000
745,24193,3,16,67,2012,407000
746,24193,4,13,91,2003,380000
747,24193,4,10,91,2003,390000
748,24193,4,4,91,2003,363000
749,24193,4,16,94,2003,400000
750,24193,4,10,93,2012,440000
751,24193,4,7,93,2012,460000
752,24193,4,13,93,2010,490000
753,24193,4,10,95,2004,425000
754,24193,4,10,94,2012,460000
755,24193,4,10,93,2012,415000
756,24193,4,16,91,2005,420000
757,24193,4,10,93,2012,505000
758,24193,4,4,97,2012,530000
759,24193,4,1,91,2007,390000
760,24193,4,4,92,2009,385000
761,24193,4,16,92,2009,456000
762,24193,4,4,92,2009,415000
763,24193,4,10,90,2002,378000
764,24193,4,4,90,2003,375000
765,24193,4,10,93,2011,500000
766,24193,4,7,97,2012,510000
767,24193,4,13,96,2012,490000
768,24193,4,16,93,2011,530000
769,24193,4,13,95,2012,473000
770,24193,4,7,92,2012,450000
771,24193,4,4,92,2012,415000
772,24193,4,13,92,2012,460000
773,24193,4,10,90,2007,410000
774,24193,4,10,92,2012,470000
775,24193,5,7,111,2003,400000
776,24193,5,10,110,2003,440000
777,24193,5,4,110,2004,448000
778,24193,5,10,110,2003,450000
779,24193,5,13,110,2003,455000
780,24193,5,7,112,2003,425000
781,24193,5,13,110,2003,463000
782,24193,5,1,110,2003,418000
783,24193,5,16,110,2003,465000
784,24193,5,10,110,2003,448000
785,24193,5,10,114,2004,513000
786,24193,5,19,113,2004,510000
787,24193,5,13,110,2005,430000
788,24193,5,4,110,2002,450000
789,24193,5,7,110,2003,462000
790,24193,5,7,110,2003,415000
791,24193,5,4,110,2004,422888
792,24193,5,13,110,2003,475000
793,24193,5,7,110,2002,453000
794,24193,6,10,128,2003,595000
795,24193,6,13,130,2003,543000
796,24193,2,16,46,1967,246000
797,24193,2,1,46,1967,227000
798,24193,3,1,60,1967,290000
799,24193,3,4,67,1979,355000
800,24193,3,4,65,1978,350000
801,24193,3,7,65,1978,380000
802,24193,3,7,65,1976,385000
803,24193,3,7,65,1976,375000
804,24193,3,1,102,1968,880000
805,24193,3,7,60,1971,305000
806,24193,3,13,60,2008,520000
807,24193,4,7,95,2012,680000
808,24193,4,16,92,2003,675000
809,24193,4,7,94,1979,540000
810,24193,4,1,93,2013,650000
811,24193,4,4,88,1975,580000
812,24193,4,16,94,2011,770000
813,24193,4,7,96,2000,688000
